datetime;date;login;platform;platform_name;publisher_name;rtype;mime;print_identifier;online_identifier;title_id;doi;publication_title;publication_date;unitid;domain;on_campus;log_id;ezpaarse_version;ezpaarse_date;middlewares_version;middlewares_date;platforms_version;platforms_date;middlewares;title;type;subject;geoip-country;geoip-latitude;geoip-longitude;host;identd;url;status;size
2023-03-14T05:02:54+01:00;2023-03-14;ac829da37888dab09698e6ce2e0145dfba14230f;europresse;Europresse;CEDROM-SNi;ARTICLE;PDF;;;;;;;pdf·20230314·NIC_P·1;nouveau.europresse.com;N;a03c733befa0fd549d7f3ec9b9b57aa6abd20937;3.9.2;2023-09-25;1df4e1f;2023-07-26;70ae7649;2023-09-22;filter, parser, deduplicator, istex, crossref, sudoc, hal, enhancer, geolocalizer, cut, on-campus-counter, qualifier, anonymizer;;;;FR;46.9874;1.1722;b4cf8fbd5742703175d610fdab6ba6753ce18112;;https://nouveau.europresse.com:443/Pdf/ImageList?docName=pdf%C2%B720230314%C2%B7NIC_P%C2%B71;200;1242
2023-03-14T05:04:27+01:00;2023-03-14;ac829da37888dab09698e6ce2e0145dfba14230f;europresse;Europresse;CEDROM-SNi;ARTICLE;PDF;;;;;;;pdf·20230314·NIC_P·2;nouveau.europresse.com;N;c52f963ea9a7e335f750c6de8cd51adda6adb83f;3.9.2;2023-09-25;1df4e1f;2023-07-26;70ae7649;2023-09-22;filter, parser, deduplicator, istex, crossref, sudoc, hal, enhancer, geolocalizer, cut, on-campus-counter, qualifier, anonymizer;;;;FR;46.9874;1.1722;b4cf8fbd5742703175d610fdab6ba6753ce18112;;https://nouveau.europresse.com:443/Pdf/ImageList?docName=pdf%C2%B720230314%C2%B7NIC_P%C2%B72;200;1243
2023-03-14T05:08:54+01:00;2023-03-14;ac829da37888dab09698e6ce2e0145dfba14230f;europresse;Europresse;CEDROM-SNi;ARTICLE;PDF;;;;;;;pdf·20230314·NIC_P·3;nouveau.europresse.com;N;3fe5fb1f9af7ad6d503794ce918a72e1f16feaec;3.9.2;2023-09-25;1df4e1f;2023-07-26;70ae7649;2023-09-22;filter, parser, deduplicator, istex, crossref, sudoc, hal, enhancer, geolocalizer, cut, on-campus-counter, qualifier, anonymizer;;;;FR;46.9874;1.1722;b4cf8fbd5742703175d610fdab6ba6753ce18112;;https://nouveau.europresse.com:443/Pdf/ImageList?docName=pdf%C2%B720230314%C2%B7NIC_P%C2%B73;200;1243
2023-03-14T05:13:44+01:00;2023-03-14;ac829da37888dab09698e6ce2e0145dfba14230f;europresse;Europresse;CEDROM-SNi;ARTICLE;PDF;;;;;;;pdf·20230314·NIC_P·1;nouveau.europresse.com;N;78c4876bb716b9fd0484dbf84fc2e65230b5352f;3.9.2;2023-09-25;1df4e1f;2023-07-26;70ae7649;2023-09-22;filter, parser, deduplicator, istex, crossref, sudoc, hal, enhancer, geolocalizer, cut, on-campus-counter, qualifier, anonymizer;;;;FR;46.9874;1.1722;b4cf8fbd5742703175d610fdab6ba6753ce18112;;https://nouveau.europresse.com:443/Pdf/ImageList?docName=pdf%C2%B720230314%C2%B7NIC_P%C2%B71;200;1243
2023-03-14T05:13:59+01:00;2023-03-14;ac829da37888dab09698e6ce2e0145dfba14230f;europresse;Europresse;CEDROM-SNi;ARTICLE;PDF;;;;;;;pdf·20230314·NIC_P·3;nouveau.europresse.com;N;0c022483e9458a67de31ba35c5b3887c5adfeadd;3.9.2;2023-09-25;1df4e1f;2023-07-26;70ae7649;2023-09-22;filter, parser, deduplicator, istex, crossref, sudoc, hal, enhancer, geolocalizer, cut, on-campus-counter, qualifier, anonymizer;;;;FR;46.9874;1.1722;b4cf8fbd5742703175d610fdab6ba6753ce18112;;https://nouveau.europresse.com:443/Pdf/ImageList?docName=pdf%C2%B720230314%C2%B7NIC_P%C2%B73;200;1243
2023-03-14T05:18:05+01:00;2023-03-14;ac829da37888dab09698e6ce2e0145dfba14230f;europresse;Europresse;CEDROM-SNi;ARTICLE;PDF;;;;;;;pdf·20230314·NIC_P·4;nouveau.europresse.com;N;f1fe4f6f92a0f906e63c1176cae32ae333d69659;3.9.2;2023-09-25;1df4e1f;2023-07-26;70ae7649;2023-09-22;filter, parser, deduplicator, istex, crossref, sudoc, hal, enhancer, geolocalizer, cut, on-campus-counter, qualifier, anonymizer;;;;FR;46.9874;1.1722;b4cf8fbd5742703175d610fdab6ba6753ce18112;;https://nouveau.europresse.com:443/Pdf/ImageList?docName=pdf%C2%B720230314%C2%B7NIC_P%C2%B74;200;1243
2023-03-14T05:20:01+01:00;2023-03-14;ac829da37888dab09698e6ce2e0145dfba14230f;europresse;Europresse;CEDROM-SNi;ARTICLE;PDF;;;;;;;pdf·20230314·NIC_P·5;nouveau.europresse.com;N;2511c509a97bc1339fdf5a1c34c27c975c6be1d0;3.9.2;2023-09-25;1df4e1f;2023-07-26;70ae7649;2023-09-22;filter, parser, deduplicator, istex, crossref, sudoc, hal, enhancer, geolocalizer, cut, on-campus-counter, qualifier, anonymizer;;;;FR;46.9874;1.1722;b4cf8fbd5742703175d610fdab6ba6753ce18112;;https://nouveau.europresse.com:443/Pdf/ImageList?docName=pdf%C2%B720230314%C2%B7NIC_P%C2%B75;200;1243
2023-03-14T05:20:10+01:00;2023-03-14;ac829da37888dab09698e6ce2e0145dfba14230f;europresse;Europresse;CEDROM-SNi;ARTICLE;PDF;;;;;;;pdf·20230314·NIC_P·6;nouveau.europresse.com;N;123cba6d4ee75ed56fd4a438eb978c1a590673a2;3.9.2;2023-09-25;1df4e1f;2023-07-26;70ae7649;2023-09-22;filter, parser, deduplicator, istex, crossref, sudoc, hal, enhancer, geolocalizer, cut, on-campus-counter, qualifier, anonymizer;;;;FR;46.9874;1.1722;b4cf8fbd5742703175d610fdab6ba6753ce18112;;https://nouveau.europresse.com:443/Pdf/ImageList?docName=pdf%C2%B720230314%C2%B7NIC_P%C2%B76;200;1243
2023-03-14T05:23:58+01:00;2023-03-14;ac829da37888dab09698e6ce2e0145dfba14230f;europresse;Europresse;CEDROM-SNi;ARTICLE;PDF;;;;;;;pdf·20230314·NIC_P·5;nouveau.europresse.com;N;ee706f098a176ad7d280f29daeb2831115c96af4;3.9.2;2023-09-25;1df4e1f;2023-07-26;70ae7649;2023-09-22;filter, parser, deduplicator, istex, crossref, sudoc, hal, enhancer, geolocalizer, cut, on-campus-counter, qualifier, anonymizer;;;;FR;46.9874;1.1722;b4cf8fbd5742703175d610fdab6ba6753ce18112;;https://nouveau.europresse.com:443/Pdf/ImageList?docName=pdf%C2%B720230314%C2%B7NIC_P%C2%B75;200;1243
2023-03-14T05:24:08+01:00;2023-03-14;ac829da37888dab09698e6ce2e0145dfba14230f;europresse;Europresse;CEDROM-SNi;ARTICLE;PDF;;;;;;;pdf·20230314·NIC_P·6;nouveau.europresse.com;N;35455c1d00b7da755a79d99f426f6b4522294754;3.9.2;2023-09-25;1df4e1f;2023-07-26;70ae7649;2023-09-22;filter, parser, deduplicator, istex, crossref, sudoc, hal, enhancer, geolocalizer, cut, on-campus-counter, qualifier, anonymizer;;;;FR;46.9874;1.1722;b4cf8fbd5742703175d610fdab6ba6753ce18112;;https://nouveau.europresse.com:443/Pdf/ImageList?docName=pdf%C2%B720230314%C2%B7NIC_P%C2%B76;200;1243
