2023/02/27:04:00:07	82.127.148.33	yMIBldMCBCv5EeF	proxy	www.lamyline.fr	https://www.lamyline.fr/Content/Inicio.aspx?DATA=t0wYABJ3rqrbmIABJzwNyn
2023/02/27:04:07:07	193.48.66.10	3ZB3YQLyP5QR4o2	proxy	nouveau.europresse.com	https://nouveau.europresse.com/access/ip/default.aspx?un=CORTET_1
2023/02/27:04:11:26	193.48.29.146	F0Euufb3QKNJbPX	proxy	www.cairn.info	https://www.cairn.info/etudes-de-marche--9782311405255.htm
2023/02/27:04:21:21	193.48.66.9	U1vYw8F370hDXrr	proxy	search.ebscohost.com	http://search.ebscohost.com/login.aspx?direct=true&scope=site&type=0&site=eds-live&custid=ns196131&groupid=main&profid=eds&lang=fr&authtype=ip,guest&cli0=FC&clv0=Y&bquery=AU+(baudrillard)
2023/02/27:04:21:22	193.48.66.9	U1vYw8F370hDXrr	proxy	search.ebscohost.com	http://search.ebscohost.com/login.aspx?direct=true&scope=site&type=0&site=eds-live&custid=ns196131&groupid=main&profid=eds&lang=fr&authtype=ip,guest&cli0=FC&clv0=Y&bquery=AU+(baudrillard)
2023/02/27:04:21:22	193.48.66.9	U1vYw8F370hDXrr	proxy	search.ebscohost.com	http://search.ebscohost.com/login.aspx?direct=true&scope=site&type=0&site=eds-live&custid=ns196131&groupid=main&profid=eds&lang=fr&authtype=ip,guest&cli0=FC&clv0=Y&bquery=AU+(baudrillard)
2023/02/27:04:21:22	193.48.66.9	U1vYw8F370hDXrr	proxy	search.ebscohost.com	http://search.ebscohost.com/login.aspx?direct=true&scope=site&type=0&site=eds-live&custid=ns196131&groupid=main&profid=eds&lang=fr&authtype=ip,guest&cli0=FC&clv0=Y&bquery=AU+(baudrillard)
2023/02/27:04:21:22	193.48.66.9	U1vYw8F370hDXrr	proxy	search.ebscohost.com	http://search.ebscohost.com/login.aspx?direct=true&scope=site&type=0&site=eds-live&custid=ns196131&groupid=main&profid=eds&lang=fr&authtype=ip,guest&cli0=FC&clv0=Y&bquery=AU+(baudrillard)
2023/02/27:04:21:22	193.48.66.9	U1vYw8F370hDXrr	proxy	search.ebscohost.com	http://search.ebscohost.com/login.aspx?direct=true&scope=site&type=0&site=eds-live&custid=ns196131&groupid=main&profid=eds&lang=fr&authtype=ip,guest&cli0=FC&clv0=Y&bquery=AU+(baudrillard)
2023/02/27:04:21:23	193.48.66.9	U1vYw8F370hDXrr	proxy	search.ebscohost.com	http://search.ebscohost.com/login.aspx?direct=true&scope=site&type=0&site=eds-live&custid=ns196131&groupid=main&profid=eds&lang=fr&authtype=ip,guest&cli0=FC&clv0=Y&bquery=AU+(baudrillard)
2023/02/27:04:21:23	193.48.66.9	U1vYw8F370hDXrr	proxy	search.ebscohost.com	http://search.ebscohost.com/login.aspx?direct=true&scope=site&type=0&site=eds-live&custid=ns196131&groupid=main&profid=eds&lang=fr&authtype=ip,guest&cli0=FC&clv0=Y&bquery=AU+(baudrillard)
2023/02/27:04:21:23	193.48.66.9	U1vYw8F370hDXrr	proxy	search.ebscohost.com	http://search.ebscohost.com/login.aspx?direct=true&scope=site&type=0&site=eds-live&custid=ns196131&groupid=main&profid=eds&lang=fr&authtype=ip,guest&cli0=FC&clv0=Y&bquery=AU+(baudrillard)
2023/02/27:04:21:23	193.48.66.9	U1vYw8F370hDXrr	proxy	search.ebscohost.com	http://search.ebscohost.com/login.aspx?direct=true&scope=site&type=0&site=eds-live&custid=ns196131&groupid=main&profid=eds&lang=fr&authtype=ip,guest&cli0=FC&clv0=Y&bquery=AU+(baudrillard)
2023/02/27:04:21:29	193.48.66.9	U1vYw8F370hDXrr	proxy	search.ebscohost.com	http://search.ebscohost.com/login.aspx?direct=true&scope=site&type=0&site=eds-live&custid=ns196131&groupid=main&profid=eds&lang=fr&authtype=ip,guest&cli0=FC&clv0=Y&bquery=AU+(baudrillard)
2023/02/27:04:21:29	193.48.66.9	U1vYw8F370hDXrr	proxy	search.ebscohost.com	http://search.ebscohost.com/login.aspx?direct=true&scope=site&type=0&site=eds-live&custid=ns196131&groupid=main&profid=eds&lang=fr&authtype=ip,guest&cli0=FC&clv0=Y&bquery=AU+(baudrillard)
2023/02/27:04:21:29	193.48.66.9	U1vYw8F370hDXrr	proxy	search.ebscohost.com	http://search.ebscohost.com/login.aspx?direct=true&scope=site&type=0&site=eds-live&custid=ns196131&groupid=main&profid=eds&lang=fr&authtype=ip,guest&cli0=FC&clv0=Y&bquery=AU+(baudrillard)
2023/02/27:04:21:29	193.48.66.9	U1vYw8F370hDXrr	proxy	search.ebscohost.com	http://search.ebscohost.com/login.aspx?direct=true&scope=site&type=0&site=eds-live&custid=ns196131&groupid=main&profid=eds&lang=fr&authtype=ip,guest&cli0=FC&clv0=Y&bquery=AU+(baudrillard)
2023/02/27:04:21:29	193.48.66.9	U1vYw8F370hDXrr	proxy	search.ebscohost.com	http://search.ebscohost.com/login.aspx?direct=true&scope=site&type=0&site=eds-live&custid=ns196131&groupid=main&profid=eds&lang=fr&authtype=ip,guest&cli0=FC&clv0=Y&bquery=AU+(baudrillard)
2023/02/27:04:21:30	193.48.66.9	U1vYw8F370hDXrr	proxy	search.ebscohost.com	http://search.ebscohost.com/login.aspx?direct=true&scope=site&type=0&site=eds-live&custid=ns196131&groupid=main&profid=eds&lang=fr&authtype=ip,guest&cli0=FC&clv0=Y&bquery=AU+(baudrillard)
2023/02/27:04:21:30	193.48.66.9	U1vYw8F370hDXrr	proxy	search.ebscohost.com	http://search.ebscohost.com/login.aspx?direct=true&scope=site&type=0&site=eds-live&custid=ns196131&groupid=main&profid=eds&lang=fr&authtype=ip,guest&cli0=FC&clv0=Y&bquery=AU+(baudrillard)
2023/02/27:04:21:30	193.48.66.9	U1vYw8F370hDXrr	proxy	search.ebscohost.com	http://search.ebscohost.com/login.aspx?direct=true&scope=site&type=0&site=eds-live&custid=ns196131&groupid=main&profid=eds&lang=fr&authtype=ip,guest&cli0=FC&clv0=Y&bquery=AU+(baudrillard)
2023/02/27:04:21:30	193.48.66.9	U1vYw8F370hDXrr	proxy	search.ebscohost.com	http://search.ebscohost.com/login.aspx?direct=true&scope=site&type=0&site=eds-live&custid=ns196131&groupid=main&profid=eds&lang=fr&authtype=ip,guest&cli0=FC&clv0=Y&bquery=AU+(baudrillard)
2023/02/27:04:21:30	193.48.66.9	U1vYw8F370hDXrr	proxy	search.ebscohost.com	http://search.ebscohost.com/login.aspx?direct=true&scope=site&type=0&site=eds-live&custid=ns196131&groupid=main&profid=eds&lang=fr&authtype=ip,guest&cli0=FC&clv0=Y&bquery=AU+(baudrillard)
2023/02/27:04:21:32	193.48.66.9	U1vYw8F370hDXrr	proxy	search.ebscohost.com	http://search.ebscohost.com/login.aspx?direct=true&scope=site&type=0&site=eds-live&custid=ns196131&groupid=main&profid=eds&lang=fr&authtype=ip,guest&cli0=FC&clv0=Y&bquery=AU+(baudrillard)
2023/02/27:04:21:32	193.48.66.9	U1vYw8F370hDXrr	proxy	search.ebscohost.com	http://search.ebscohost.com/login.aspx?direct=true&scope=site&type=0&site=eds-live&custid=ns196131&groupid=main&profid=eds&lang=fr&authtype=ip,guest&cli0=FC&clv0=Y&bquery=AU+(baudrillard)
2023/02/27:04:21:32	193.48.66.9	U1vYw8F370hDXrr	proxy	search.ebscohost.com	http://search.ebscohost.com/login.aspx?direct=true&scope=site&type=0&site=eds-live&custid=ns196131&groupid=main&profid=eds&lang=fr&authtype=ip,guest&cli0=FC&clv0=Y&bquery=AU+(baudrillard)
2023/02/27:04:21:33	193.48.66.9	U1vYw8F370hDXrr	proxy	search.ebscohost.com	http://search.ebscohost.com/login.aspx?direct=true&scope=site&type=0&site=eds-live&custid=ns196131&groupid=main&profid=eds&lang=fr&authtype=ip,guest&cli0=FC&clv0=Y&bquery=AU+(baudrillard)
2023/02/27:04:21:33	193.48.66.9	U1vYw8F370hDXrr	proxy	search.ebscohost.com	http://search.ebscohost.com/login.aspx?direct=true&scope=site&type=0&site=eds-live&custid=ns196131&groupid=main&profid=eds&lang=fr&authtype=ip,guest&cli0=FC&clv0=Y&bquery=AU+(baudrillard)
2023/02/27:04:21:33	193.48.66.9	U1vYw8F370hDXrr	proxy	search.ebscohost.com	http://search.ebscohost.com/login.aspx?direct=true&scope=site&type=0&site=eds-live&custid=ns196131&groupid=main&profid=eds&lang=fr&authtype=ip,guest&cli0=FC&clv0=Y&bquery=AU+(baudrillard)
2023/02/27:04:21:33	193.48.66.9	U1vYw8F370hDXrr	proxy	search.ebscohost.com	http://search.ebscohost.com/login.aspx?direct=true&scope=site&type=0&site=eds-live&custid=ns196131&groupid=main&profid=eds&lang=fr&authtype=ip,guest&cli0=FC&clv0=Y&bquery=AU+(baudrillard)
2023/02/27:04:21:33	193.48.66.9	U1vYw8F370hDXrr	proxy	search.ebscohost.com	http://search.ebscohost.com/login.aspx?direct=true&scope=site&type=0&site=eds-live&custid=ns196131&groupid=main&profid=eds&lang=fr&authtype=ip,guest&cli0=FC&clv0=Y&bquery=AU+(baudrillard)
2023/02/27:04:21:34	193.48.66.9	U1vYw8F370hDXrr	proxy	search.ebscohost.com	http://search.ebscohost.com/login.aspx?direct=true&scope=site&type=0&site=eds-live&custid=ns196131&groupid=main&profid=eds&lang=fr&authtype=ip,guest&cli0=FC&clv0=Y&bquery=AU+(baudrillard)
2023/02/27:04:21:34	193.48.66.9	U1vYw8F370hDXrr	proxy	search.ebscohost.com	http://search.ebscohost.com/login.aspx?direct=true&scope=site&type=0&site=eds-live&custid=ns196131&groupid=main&profid=eds&lang=fr&authtype=ip,guest&cli0=FC&clv0=Y&bquery=AU+(baudrillard)
2023/02/27:04:21:42	193.48.66.9	U1vYw8F370hDXrr	proxy	search.ebscohost.com	http://search.ebscohost.com/login.aspx?direct=true&scope=site&type=0&site=eds-live&custid=ns196131&groupid=main&profid=eds&lang=fr&authtype=ip,guest&bquery=AU+(baudrillard)
2023/02/27:04:21:42	193.48.66.9	U1vYw8F370hDXrr	proxy	search.ebscohost.com	http://search.ebscohost.com/login.aspx?direct=true&scope=site&type=0&site=eds-live&custid=ns196131&groupid=main&profid=eds&lang=fr&authtype=ip,guest&bquery=AU+(baudrillard)
2023/02/27:04:21:42	193.48.66.9	U1vYw8F370hDXrr	proxy	search.ebscohost.com	http://search.ebscohost.com/login.aspx?direct=true&scope=site&type=0&site=eds-live&custid=ns196131&groupid=main&profid=eds&lang=fr&authtype=ip,guest&bquery=AU+(baudrillard)
