datetime;date;login;platform;platform_name;publisher_name;rtype;mime;print_identifier;online_identifier;title_id;doi;publication_title;publication_date;unitid;domain;on_campus;log_id;ezpaarse_version;ezpaarse_date;middlewares_version;middlewares_date;platforms_version;platforms_date;middlewares;title;type;subject;geoip-country;geoip-latitude;geoip-longitude;host;identd;url;status;size
2023-12-12T06:00:09+01:00;2023-12-12;c72f1cd318f695227aeb458fef3eac2072a47840;europresse;Europresse;CEDROM-SNi;ARTICLE;PDF;;;;;;;pdf·20231212·LM_P·1;nouveau.europresse.com;N;7c20fbdc478124f2e20899821453252b98f43cc0;3.9.2;2023-09-25;1df4e1f;2023-07-26;70ae7649;2023-09-22;filter, parser, deduplicator, istex, crossref, sudoc, hal, enhancer, geolocalizer, cut, on-campus-counter, qualifier, anonymizer;;;;FR;42.7028;9.45;beed22175323b9bafbb4075f8a1b1f78ca519d0c;;https://nouveau.europresse.com:443/Pdf/ImageList?docName=pdf%C2%B720231212%C2%B7LM_P%C2%B71;200;1377
2023-12-12T06:00:48+01:00;2023-12-12;c72f1cd318f695227aeb458fef3eac2072a47840;europresse;Europresse;CEDROM-SNi;ARTICLE;PDF;;;;;;;pdf·20231212·LM_P·14;nouveau.europresse.com;N;0db29b252f3ebb6b441e037dbfd1b89749db4e5e;3.9.2;2023-09-25;1df4e1f;2023-07-26;70ae7649;2023-09-22;filter, parser, deduplicator, istex, crossref, sudoc, hal, enhancer, geolocalizer, cut, on-campus-counter, qualifier, anonymizer;;;;FR;42.7028;9.45;beed22175323b9bafbb4075f8a1b1f78ca519d0c;;https://nouveau.europresse.com:443/Pdf/ImageList?docName=pdf%C2%B720231212%C2%B7LM_P%C2%B714;200;1377
2023-12-12T06:00:58+01:00;2023-12-12;c72f1cd318f695227aeb458fef3eac2072a47840;europresse;Europresse;CEDROM-SNi;ARTICLE;PDF;;;;;;;pdf·20231212·LM_P·15;nouveau.europresse.com;N;52f900efe04031cda304ebb85f593f5dea7b05bc;3.9.2;2023-09-25;1df4e1f;2023-07-26;70ae7649;2023-09-22;filter, parser, deduplicator, istex, crossref, sudoc, hal, enhancer, geolocalizer, cut, on-campus-counter, qualifier, anonymizer;;;;FR;42.7028;9.45;beed22175323b9bafbb4075f8a1b1f78ca519d0c;;https://nouveau.europresse.com:443/Pdf/ImageList?docName=pdf%C2%B720231212%C2%B7LM_P%C2%B715;200;1377
2023-12-12T06:03:43+01:00;2023-12-12;c72f1cd318f695227aeb458fef3eac2072a47840;europresse;Europresse;CEDROM-SNi;ARTICLE;PDF;;;;;;;pdf·20231212·LM_P·16;nouveau.europresse.com;N;800ca9770bbf2d74a88ba08491be8bfc9a533976;3.9.2;2023-09-25;1df4e1f;2023-07-26;70ae7649;2023-09-22;filter, parser, deduplicator, istex, crossref, sudoc, hal, enhancer, geolocalizer, cut, on-campus-counter, qualifier, anonymizer;;;;FR;42.7028;9.45;beed22175323b9bafbb4075f8a1b1f78ca519d0c;;https://nouveau.europresse.com:443/Pdf/ImageList?docName=pdf%C2%B720231212%C2%B7LM_P%C2%B716;200;1377
2023-12-12T06:03:59+01:00;2023-12-12;c72f1cd318f695227aeb458fef3eac2072a47840;europresse;Europresse;CEDROM-SNi;ARTICLE;PDF;;;;;;;pdf·20231212·LM_P·18;nouveau.europresse.com;N;0ec522df779690a0218fe70976f8d322924df4d5;3.9.2;2023-09-25;1df4e1f;2023-07-26;70ae7649;2023-09-22;filter, parser, deduplicator, istex, crossref, sudoc, hal, enhancer, geolocalizer, cut, on-campus-counter, qualifier, anonymizer;;;;FR;42.7028;9.45;beed22175323b9bafbb4075f8a1b1f78ca519d0c;;https://nouveau.europresse.com:443/Pdf/ImageList?docName=pdf%C2%B720231212%C2%B7LM_P%C2%B718;200;1377
2023-12-12T06:04:11+01:00;2023-12-12;c72f1cd318f695227aeb458fef3eac2072a47840;europresse;Europresse;CEDROM-SNi;ARTICLE;PDF;;;;;;;pdf·20231212·LM_P·19;nouveau.europresse.com;N;75336a79c3f8e0bfa08f9874458d5ca4f27c46aa;3.9.2;2023-09-25;1df4e1f;2023-07-26;70ae7649;2023-09-22;filter, parser, deduplicator, istex, crossref, sudoc, hal, enhancer, geolocalizer, cut, on-campus-counter, qualifier, anonymizer;;;;FR;42.7028;9.45;beed22175323b9bafbb4075f8a1b1f78ca519d0c;;https://nouveau.europresse.com:443/Pdf/ImageList?docName=pdf%C2%B720231212%C2%B7LM_P%C2%B719;200;1376
2023-12-12T06:04:45+01:00;2023-12-12;c72f1cd318f695227aeb458fef3eac2072a47840;europresse;Europresse;CEDROM-SNi;ARTICLE;PDF;;;;;;;pdf·20231212·LF_P·1;nouveau.europresse.com;N;0cfb84707939875495167fd4ac537515048bb1b8;3.9.2;2023-09-25;1df4e1f;2023-07-26;70ae7649;2023-09-22;filter, parser, deduplicator, istex, crossref, sudoc, hal, enhancer, geolocalizer, cut, on-campus-counter, qualifier, anonymizer;;;;FR;42.7028;9.45;beed22175323b9bafbb4075f8a1b1f78ca519d0c;;https://nouveau.europresse.com:443/Pdf/ImageList?docName=pdf%C2%B720231212%C2%B7LF_P%C2%B71;200;1377
2023-12-12T06:05:50+01:00;2023-12-12;c72f1cd318f695227aeb458fef3eac2072a47840;europresse;Europresse;CEDROM-SNi;ARTICLE;PDF;;;;;;;pdf·20231212·LF_P·2;nouveau.europresse.com;N;d28e64c8f0013e85ed6f6081bc6eb676a91d6f9f;3.9.2;2023-09-25;1df4e1f;2023-07-26;70ae7649;2023-09-22;filter, parser, deduplicator, istex, crossref, sudoc, hal, enhancer, geolocalizer, cut, on-campus-counter, qualifier, anonymizer;;;;FR;42.7028;9.45;beed22175323b9bafbb4075f8a1b1f78ca519d0c;;https://nouveau.europresse.com:443/Pdf/ImageList?docName=pdf%C2%B720231212%C2%B7LF_P%C2%B72;200;1377
2023-12-12T06:10:40+01:00;2023-12-12;c72f1cd318f695227aeb458fef3eac2072a47840;europresse;Europresse;CEDROM-SNi;ARTICLE;PDF;;;;;;;pdf·20231212·LF_P·3;nouveau.europresse.com;N;abfec4e08952575924053e965e2cc0108bec6b4b;3.9.2;2023-09-25;1df4e1f;2023-07-26;70ae7649;2023-09-22;filter, parser, deduplicator, istex, crossref, sudoc, hal, enhancer, geolocalizer, cut, on-campus-counter, qualifier, anonymizer;;;;FR;42.7028;9.45;beed22175323b9bafbb4075f8a1b1f78ca519d0c;;https://nouveau.europresse.com:443/Pdf/ImageList?docName=pdf%C2%B720231212%C2%B7LF_P%C2%B73;200;1377
2023-12-12T06:10:43+01:00;2023-12-12;c72f1cd318f695227aeb458fef3eac2072a47840;europresse;Europresse;CEDROM-SNi;ARTICLE;PDF;;;;;;;pdf·20231212·LF_P·4;nouveau.europresse.com;N;38a8a4cf461d1367c9dfe72314293e0be1965d6e;3.9.2;2023-09-25;1df4e1f;2023-07-26;70ae7649;2023-09-22;filter, parser, deduplicator, istex, crossref, sudoc, hal, enhancer, geolocalizer, cut, on-campus-counter, qualifier, anonymizer;;;;FR;42.7028;9.45;beed22175323b9bafbb4075f8a1b1f78ca519d0c;;https://nouveau.europresse.com:443/Pdf/ImageList?docName=pdf%C2%B720231212%C2%B7LF_P%C2%B74;200;1377
