datetime;date;login;platform;platform_name;publisher_name;rtype;mime;print_identifier;online_identifier;title_id;doi;publication_title;publication_date;unitid;domain;on_campus;log_id;ezpaarse_version;ezpaarse_date;middlewares_version;middlewares_date;platforms_version;platforms_date;middlewares;title;type;subject;geoip-country;geoip-latitude;geoip-longitude;host;identd;url;status;size
2023-11-08T07:30:18+01:00;2023-11-08;238ea4f884aadc89e5c75fc7cdda648256971368;europresse;Europresse;CEDROM-SNi;ARTICLE;PDF;;;;;;;pdf·20231108·NIC_P·1;nouveau.europresse.com;N;daee45b6b134db9ca7ac100752da1c3afb503c12;3.9.2;2023-09-25;1df4e1f;2023-07-26;70ae7649;2023-09-22;filter, parser, deduplicator, istex, crossref, sudoc, hal, enhancer, geolocalizer, cut, on-campus-counter, qualifier, anonymizer;;;;FR;48.8582;2.3387;d647baf2087a9896b314e3a4c0b8d68f3305e84e;;https://nouveau.europresse.com:443/Pdf/ImageList?docName=pdf%C2%B720231108%C2%B7NIC_P%C2%B71;200;1243
2023-11-08T07:31:27+01:00;2023-11-08;238ea4f884aadc89e5c75fc7cdda648256971368;europresse;Europresse;CEDROM-SNi;ARTICLE;PDF;;;;;;;pdf·20231108·NIC_P·2;nouveau.europresse.com;N;32c2e8cd0d94aaf4896005fb69b89dadf94b95bf;3.9.2;2023-09-25;1df4e1f;2023-07-26;70ae7649;2023-09-22;filter, parser, deduplicator, istex, crossref, sudoc, hal, enhancer, geolocalizer, cut, on-campus-counter, qualifier, anonymizer;;;;FR;48.8582;2.3387;d647baf2087a9896b314e3a4c0b8d68f3305e84e;;https://nouveau.europresse.com:443/Pdf/ImageList?docName=pdf%C2%B720231108%C2%B7NIC_P%C2%B72;200;1243
2023-11-08T07:31:52+01:00;2023-11-08;238ea4f884aadc89e5c75fc7cdda648256971368;europresse;Europresse;CEDROM-SNi;ARTICLE;PDF;;;;;;;pdf·20231108·NIC_P·3;nouveau.europresse.com;N;72e9f450cee8aee25a166fc391cb1125ab5b9fef;3.9.2;2023-09-25;1df4e1f;2023-07-26;70ae7649;2023-09-22;filter, parser, deduplicator, istex, crossref, sudoc, hal, enhancer, geolocalizer, cut, on-campus-counter, qualifier, anonymizer;;;;FR;48.8582;2.3387;d647baf2087a9896b314e3a4c0b8d68f3305e84e;;https://nouveau.europresse.com:443/Pdf/ImageList?docName=pdf%C2%B720231108%C2%B7NIC_P%C2%B73;200;1243
2023-11-08T07:32:22+01:00;2023-11-08;238ea4f884aadc89e5c75fc7cdda648256971368;europresse;Europresse;CEDROM-SNi;ARTICLE;PDF;;;;;;;pdf·20231108·NIC_P·4;nouveau.europresse.com;N;c1fe447c3abbf4662e24f6ce23b84a1d97c14c55;3.9.2;2023-09-25;1df4e1f;2023-07-26;70ae7649;2023-09-22;filter, parser, deduplicator, istex, crossref, sudoc, hal, enhancer, geolocalizer, cut, on-campus-counter, qualifier, anonymizer;;;;FR;48.8582;2.3387;d647baf2087a9896b314e3a4c0b8d68f3305e84e;;https://nouveau.europresse.com:443/Pdf/ImageList?docName=pdf%C2%B720231108%C2%B7NIC_P%C2%B74;200;1242
2023-11-08T07:33:49+01:00;2023-11-08;238ea4f884aadc89e5c75fc7cdda648256971368;europresse;Europresse;CEDROM-SNi;ARTICLE;PDF;;;;;;;pdf·20231108·NIC_P·5;nouveau.europresse.com;N;c788716bc48c31b7a7cf7d5264a1020972a84aa5;3.9.2;2023-09-25;1df4e1f;2023-07-26;70ae7649;2023-09-22;filter, parser, deduplicator, istex, crossref, sudoc, hal, enhancer, geolocalizer, cut, on-campus-counter, qualifier, anonymizer;;;;FR;48.8582;2.3387;d647baf2087a9896b314e3a4c0b8d68f3305e84e;;https://nouveau.europresse.com:443/Pdf/ImageList?docName=pdf%C2%B720231108%C2%B7NIC_P%C2%B75;200;1243
2023-11-08T07:34:05+01:00;2023-11-08;238ea4f884aadc89e5c75fc7cdda648256971368;europresse;Europresse;CEDROM-SNi;ARTICLE;PDF;;;;;;;pdf·20231108·NIC_P·6;nouveau.europresse.com;N;36d46a08499f440a17e47719937136f8162d9b11;3.9.2;2023-09-25;1df4e1f;2023-07-26;70ae7649;2023-09-22;filter, parser, deduplicator, istex, crossref, sudoc, hal, enhancer, geolocalizer, cut, on-campus-counter, qualifier, anonymizer;;;;FR;48.8582;2.3387;d647baf2087a9896b314e3a4c0b8d68f3305e84e;;https://nouveau.europresse.com:443/Pdf/ImageList?docName=pdf%C2%B720231108%C2%B7NIC_P%C2%B76;200;1243
2023-11-08T07:36:12+01:00;2023-11-08;238ea4f884aadc89e5c75fc7cdda648256971368;europresse;Europresse;CEDROM-SNi;ARTICLE;PDF;;;;;;;pdf·20231108·NIC_P·7;nouveau.europresse.com;N;66dd736dc87d6a51c0ec695829748106c9c996f0;3.9.2;2023-09-25;1df4e1f;2023-07-26;70ae7649;2023-09-22;filter, parser, deduplicator, istex, crossref, sudoc, hal, enhancer, geolocalizer, cut, on-campus-counter, qualifier, anonymizer;;;;FR;48.8582;2.3387;d647baf2087a9896b314e3a4c0b8d68f3305e84e;;https://nouveau.europresse.com:443/Pdf/ImageList?docName=pdf%C2%B720231108%C2%B7NIC_P%C2%B77;200;1243
2023-11-08T07:36:31+01:00;2023-11-08;238ea4f884aadc89e5c75fc7cdda648256971368;europresse;Europresse;CEDROM-SNi;ARTICLE;PDF;;;;;;;pdf·20231108·NIC_P·8;nouveau.europresse.com;N;2a85edb5a1bfe051f90b7b8cc6d867a68ff410de;3.9.2;2023-09-25;1df4e1f;2023-07-26;70ae7649;2023-09-22;filter, parser, deduplicator, istex, crossref, sudoc, hal, enhancer, geolocalizer, cut, on-campus-counter, qualifier, anonymizer;;;;FR;48.8582;2.3387;d647baf2087a9896b314e3a4c0b8d68f3305e84e;;https://nouveau.europresse.com:443/Pdf/ImageList?docName=pdf%C2%B720231108%C2%B7NIC_P%C2%B78;200;1243
2023-11-08T07:36:59+01:00;2023-11-08;238ea4f884aadc89e5c75fc7cdda648256971368;europresse;Europresse;CEDROM-SNi;ARTICLE;PDF;;;;;;;pdf·20231108·NIC_P·9;nouveau.europresse.com;N;f4d511bb94f2f841f3c9807d302262f15b39976d;3.9.2;2023-09-25;1df4e1f;2023-07-26;70ae7649;2023-09-22;filter, parser, deduplicator, istex, crossref, sudoc, hal, enhancer, geolocalizer, cut, on-campus-counter, qualifier, anonymizer;;;;FR;48.8582;2.3387;d647baf2087a9896b314e3a4c0b8d68f3305e84e;;https://nouveau.europresse.com:443/Pdf/ImageList?docName=pdf%C2%B720231108%C2%B7NIC_P%C2%B79;200;1243
2023-11-08T07:38:08+01:00;2023-11-08;238ea4f884aadc89e5c75fc7cdda648256971368;europresse;Europresse;CEDROM-SNi;ARTICLE;PDF;;;;;;;pdf·20231108·NIC_P·10;nouveau.europresse.com;N;98e396dab6d52cef22206e3aca1f2213df0458e8;3.9.2;2023-09-25;1df4e1f;2023-07-26;70ae7649;2023-09-22;filter, parser, deduplicator, istex, crossref, sudoc, hal, enhancer, geolocalizer, cut, on-campus-counter, qualifier, anonymizer;;;;FR;48.8582;2.3387;d647baf2087a9896b314e3a4c0b8d68f3305e84e;;https://nouveau.europresse.com:443/Pdf/ImageList?docName=pdf%C2%B720231108%C2%B7NIC_P%C2%B710;200;1243
